position_id | created_at          |
|     2624219 | 2016-12-14 16:53:38 |
|     2644268 | 2016-12-14 16:56:01 |
|     2611555 | 2016-12-14 16:57:18 |
|     2661483 | 2016-12-14 17:02:20 |
|     2660426 | 2016-12-14 17:05:51 |
|     2597863 | 2016-12-14 17:06:20 |
|     2284547 | 2016-12-14 17:11:54 |
|     2597880 | 2016-12-14 17:15:18 |
|     2097702 | 2016-12-14 17:16:52 |
|     1936799 | 2016-12-14 17:20:44 |
|     2659152 | 2016-12-14 17:21:03 |
|     2643406 | 2016-12-14 17:24:40 |
|     2495928 | 2016-12-14 17:27:47 |
|     2501463 | 2016-12-14 17:30:31 |
|     2549033 | 2016-12-14 17:31:29 |
|     2492836 | 2016-12-14 17:31:47 |
|     2334658 | 2016-12-14 17:31:58 |
|     2573951 | 2016-12-14 17:33:34 |
|     2306662 | 2016-12-14 17:35:51 |
|     2473220 | 2016-12-14 17:44:02 |
|     2323630 | 2016-12-14 17:54:50 |
|     2536581 | 2016-12-14 18:05:06 |
|     2606502 | 2016-12-14 18:07:37 |
|     2657668 | 2016-12-14 18:13:54 |
|     2646366 | 2016-12-14 18:15:09 |
|     2649707 | 2016-12-14 18:29:06 |
|     2553245 | 2016-12-14 18:31:47 |
|      988848 | 2016-12-14 18:47:35 |
|     2657572 | 2016-12-14 18:51:10 |
|     2609693 | 2016-12-14 18:53:06 |
|     2660098 | 2016-12-14 18:54:06 |
|     2591248 | 2016-12-14 18:59:17 |
|     2231334 | 2016-12-14 19:16:05 |
|     2629934 | 2016-12-14 19:32:16 |
|     2659712 | 2016-12-14 19:49:18 |
|     2496532 | 2016-12-14 19:57:51 |
|     2640996 | 2016-12-14 21:04:46 |
|     2488215 | 2016-12-14 21:06:17 |
|     2490063 | 2016-12-14 21:07:18 |
|     2405710 | 2016-12-14 21:26:16 |
|     2595889 | 2016-12-14 22:11:11 |
|     2626505 | 2016-12-14 22:41:46 |
|     2612238 | 2016-12-15 00:25:23 |
|     2087648 | 2016-12-15 05:53:45 |
|     1501715 | 2016-12-15 06:10:29 |
|     1974245 | 2016-12-15 07:35:45 |
|     2469716 | 2016-12-15 08:19:30 |
|     1483036 | 2016-12-15 08:45:55 |
|     2494132 | 2016-12-15 09:11:28 |
|     2650225 | 2016-12-15 09:17:43 |
|     2459316 | 2016-12-15 09:18:25 |
|     2647753 | 2016-12-15 09:54:53 |
|     2653482 | 2016-12-15 09:56:23 |
|     2658485 | 2016-12-15 09:58:09 |
|     2539023 | 2016-12-15 09:58:49 |
|     2539050 | 2016-12-15 10:00:34 |
|     2257600 | 2016-12-15 10:12:03 |
|     2224420 | 2016-12-15 10:20:20 |
|     2078829 | 2016-12-15 10:21:14 |
|     2567598 | 2016-12-15 10:28:16 |
|     2663650 | 2016-12-15 10:31:56 |
